timestamp,p_ema_fast,p_ema_slow,p_high_band,p_low_band,p_war,p_eth,p_sentiment
2026-04-10T14:00:00Z,72242.83652596406,71594.35100894887,73192.15779,70893.97528000001,72866.55919553139,73812.96967615036,72955.5794954187
2026-04-10T15:00:00Z,72291.20840908316,71629.70443715504,73326.60498,71390.436925,72417.16644989986,73358.76192610597,72485.53130890844
2026-04-10T16:00:00Z,72447.01320706468,71685.32180706708,73326.60498,71390.436925,72948.70599515345,73896.94401703471,73031.68501651862
2026-04-10T17:00:00Z,72596.93471660587,71743.94785575822,73326.60498,71390.436925,73079.20754802998,74027.57397284235,73158.02366169528
2026-04-10T18:00:00Z,72710.29811291568,71799.5854942987,73326.60498,71390.436925,73067.05088944599,74012.42930325436,73138.36453244572
2026-04-10T19:00:00Z,72827.14519893442,71858.21914759262,73326.60498,71390.436925,73199.56043207218,74142.62246947573,73269.73234405459
2026-04-10T20:00:00Z,72945.93071028232,71919.58489667048,73470.71699999999,71390.436925,73329.62866865196,74269.23183554104,73378.62502769542
2026-04-10T21:00:00Z,73000.31721910847,71971.46592129617,73470.71699999999,71390.436925,73164.1298396421,74095.52469516947,73217.75633491983
2026-04-10T22:00:00Z,72972.91339263992,72008.42649593715,73470.71699999999,71390.436925,72856.71910998499,73777.33158540152,72872.6842028512
2026-04-10T23:00:00Z,72970.64374983106,72047.37643487848,73470.71699999999,71390.436925,72949.1107319519,73863.37977957877,72956.75780798057
2026-04-11T00:00:00Z,72939.03847209082,72079.2557640671,73470.71699999999,71390.436925,72821.93476737305,73726.67023890624,72818.04184488548
2026-04-11T01:00:00Z,72942.4499227373,72114.97552879904,73470.71699999999,71390.436925,72955.16485988873,73853.35978901618,72943.89846210295
2026-04-11T02:00:00Z,72947.80993990679,72149.73448680724,73470.71699999999,71390.436925,72974.59603543788,73864.79680861048,72951.92158840629
2026-04-11T03:00:00Z,72929.76995326084,72178.99552816204,73470.71699999999,71390.436925,72881.66403191251,73762.67821166008,72854.58146025994
2026-04-11T04:00:00Z,72902.28329698066,72204.59081272685,73470.71699999999,71390.436925,72827.69839601235,73700.38202077516,72803.42361215357
2026-04-11T05:00:00Z,72862.28256431829,72225.72098363595,73470.71699999999,71390.436925,72749.86434448695,73614.50072545449,72713.31422953577
2026-04-11T06:00:00Z,72839.99755002533,72247.60992307939,73470.71699999999,71390.436925,72794.82863685008,73653.60661955674,72759.51195270059
2026-04-11T07:00:00Z,72818.97142779749,72267.92706907615,73470.71699999999,71390.436925,72782.51958014135,73635.63565188894,72737.57791686195
2026-04-11T08:00:00Z,72784.57111050916,72284.10024993018,73470.71699999999,71547.67826500001,72704.55361986796,73552.24255637496,72652.917233859
2026-04-11T09:00:00Z,72811.80197484046,72309.52921932079,73470.71699999999,71675.74420000002,72949.80220612296,73796.91806370608,72908.62874565524
2026-04-11T10:00:00Z,72818.89264709814,72331.33251649137,73470.71699999999,71863.560245,72887.35463835119,73731.47448435758,72845.12177577413
2026-04-11T11:00:00Z,72838.48316996521,72354.83118928764,73470.71699999999,71863.560245,72950.51240757316,73794.2813956324,72913.9871524246
2026-04-11T12:00:00Z,72861.1513544174,72378.7356305412,73470.71699999999,71863.560245,72982.54701059853,73826.7918362814,72947.19139517438
2026-04-11T13:00:00Z,72816.02216454686,72390.13703337625,73470.71699999999,72221.871,72697.3833205332,73539.58138822364,72654.80078570433
2026-04-11T14:00:00Z,72791.277239092,72402.9751136466,73470.71699999999,72319.692065,72740.33582081812,73585.36308126787,72706.18949815007
2026-04-11T15:00:00Z,72806.14229707155,72421.55449676306,73470.71699999999,72351.216295,72889.24014065943,73739.31524552825,72856.33615408717
2026-04-11T16:00:00Z,72856.8506755001,72446.56574179314,73470.71699999999,72476.833455,73059.92984367855,73916.17793629458,73041.48674866806
2026-04-11T17:00:00Z,72909.98830316674,72473.07203804646,73470.71699999999,72476.833455,73115.33128848964,73977.11961584,73103.06293838898
2026-04-11T18:00:00Z,73051.74423579636,72516.94215894252,73762.993065,72476.833455,73560.53223868512,74433.02581168387,73570.53102721738
2026-04-11T19:00:00Z,73192.9455167305,72564.7057442918,73826.89499999999,72476.833455,73692.61345073901,74572.49103818953,73724.72953196104
2026-04-11T20:00:00Z,73214.60873523483,72594.32714248396,73826.89499999999,72476.833455,73288.5494928312,74169.53895416584,73312.2783144603
2026-04-11T21:00:00Z,73261.81568296043,72628.31542238257,73826.89499999999,72476.833455,73417.8800227738,74306.32023585968,73448.27023144824
2026-04-11T22:00:00Z,73287.19219785811,72658.83356840778,73826.89499999999,72476.833455,73359.83915941733,74253.2174466983,73388.82456530463
2026-04-11T23:00:00Z,73232.9628205563,72674.52036153399,73826.89499999999,72476.833455,73020.52323464668,73914.94137971058,73041.18127094084
2026-04-12T00:00:00Z,73198.96219376601,72691.06891820607,73826.89499999999,72476.833455,73051.39691698654,73950.74485156547,73062.66982779768
2026-04-12T01:00:00Z,72853.3461507069,72648.31875827929,73826.89499999999,71274.345,71610.66564072185,72495.96857034993,71579.20091694905
2026-04-12T02:00:00Z,72610.6803394387,72612.11595181891,73826.89499999999,71274.345,71724.15724314621,72613.65222207435,71709.79803765065
2026-04-12T03:00:00Z,72384.57137511899,72570.52713745895,73826.89499999999,71274.345,71553.00820419214,72442.14421581288,71533.67790024033
2026-04-12T04:00:00Z,72180.5621806481,72525.46602980756,73826.89499999999,71274.345,71424.46015060358,72312.65924025745,71405.20521950329
2026-04-12T05:00:00Z,72076.0372516152,72492.18986532562,73826.89499999999,71274.345,71667.19076859108,72557.91539165594,71664.2694879591
2026-04-12T06:00:00Z,71985.36452903404,72458.54987082254,73826.89499999999,71274.345,71625.42183559849,72513.9606188228,71619.77864760382
2026-04-12T07:00:00Z,71914.1724114709,72426.16008017672,73826.89499999999,71274.345,71623.989589684,72509.68426997404,71665.79934796167
2026-04-12T08:00:00Z,71850.84743114404,72393.63150547563,73826.89499999999,71274.345,71590.93122485725,72472.28043612544,71624.26736545165
2026-04-12T09:00:00Z,71779.97911311203,72358.46042361947,73826.89499999999,71274.345,71497.48007841196,72372.71633724417,71529.6454399172
2026-04-12T10:00:00Z,71707.29264353157,72321.49836551255,73826.89499999999,71274.345,71423.18482054949,72291.63318600012,71452.37860150513
2026-04-12T11:00:00Z,71654.23872274678,72286.68414651204,73826.89499999999,71274.345,71444.37942039456,72306.41948806147,71459.53996731559
2026-04-12T12:00:00Z,71527.52122880306,72237.59540583807,73826.89499999999,71041.90128,71066.14701542712,71916.36856611498,71062.58403659129
2026-04-12T13:00:00Z,71385.72095573571,72182.56783825284,73826.89499999999,70831.38659000001,70878.260239279,71718.55150579056,70861.33253370978
2026-04-12T14:00:00Z,71244.08074335,72124.02792648743,73826.89499999999,70664.65000000001,70744.1521912264,71574.92853186779,70716.70411388931
2026-04-12T15:00:00Z,71165.84724482778,72073.74229683488,73826.89499999999,70568.767965,70894.9138378681,71719.45871739234,70868.63676940568
2026-04-12T16:00:00Z,71114.83007931049,72027.31485614774,73826.89499999999,70568.767965,70946.16023673862,71763.43414503401,70917.24358660945
2026-04-12T17:00:00Z,71120.5367283526,71991.11873957029,73826.89499999999,70568.767965,71157.17859702668,71969.3328821691,71128.31842774549
2026-04-12T18:00:00Z,71124.33745538536,71956.28287264906,73826.89499999999,70568.767965,71160.59560939761,71965.7687797499,71139.65240367652
2026-04-12T19:00:00Z,71115.41357641084,71920.68683703072,73726.81498499999,70568.767965,71112.76561482614,71911.090017271,71091.49207072832
2026-04-12T20:00:00Z,71164.3061149862,71896.7988028662,73610.787,70568.767965,71368.98886034341,72164.72970153068,71357.31549346894
2026-04-12T21:00:00Z,71208.6869783226,71875.0527292798,73610.787,70568.767965,71401.53606386125,72193.18561959208,71381.67472850542
2026-04-12T22:00:00Z,71142.91876091757,71835.77425053368,73412.69800499998,70470.62706000001,70952.89450704416,71736.25622414703,70911.84756318302
2026-04-12T23:00:00Z,71053.59903626922,71791.08877092006,73173.80862,70470.62706000001,70782.81552155886,71562.18505726232,70726.17889577177
2026-04-13T00:00:00Z,71080.04813932051,71765.84514761719,73173.80862,70470.62706000001,71215.32338675886,71998.57683950495,71173.93232891186
2026-04-13T01:00:00Z,71106.17966391596,71742.65310077567,72018.45123,70470.62706000001,71239.7873336673,72023.69843973845,71201.89928074148
2026-04-13T02:00:00Z,71098.83751637908,71715.32603543789,71897.260665,70470.62706000001,71113.47755698647,71897.63616809084,71063.36779811751
2026-04-13T03:00:00Z,71071.54029051706,71685.14946256287,71841.75292500001,70470.62706000001,71013.4323539095,71799.3225001645,70961.61684181646
2026-04-13T04:00:00Z,71031.26467040216,71652.70662735621,71841.75292500001,70470.62706000001,70923.80439591149,71712.65253017412,70889.45915857737
2026-04-13T05:00:00Z,70997.38807697946,71621.11941807636,71841.75292500001,70470.62706000001,70907.5084637405,71701.13430675554,70883.99497921107
2026-04-13T06:00:00Z,71001.89294876182,71596.48842142017,71841.75292500001,70470.62706000001,71040.78811410305,71841.75092278648,71011.86737150345
2026-04-13T07:00:00Z,70960.1122934814,71564.54522054587,71841.75292500001,70470.62706000001,70830.70219764438,71635.84170122448,70799.6525782652
2026-04-13T08:00:00Z,70898.02067270776,71528.46990542155,71718.56135999999,70470.62706000001,70690.79741698656,71501.42020539506,70666.15701561133
2026-04-13T09:00:00Z,70874.6560787727,71498.44582764924,71718.56135999999,70470.62706000001,70796.00939769209,71615.27637093145,70786.04019970796
2026-04-13T10:00:00Z,70848.261394601,71468.13701835743,71591.89805999999,70470.62706000001,70751.94068569351,71578.28766456827,70750.85257336282
2026-04-13T11:00:00Z,70866.354418023,71446.15918087345,71535.75,70470.62706000001,70918.75601441473,71754.61678248532,70931.58841386024
2026-04-13T12:00:00Z,70912.70010290678,71431.00615308271,71487.726,70470.62706000001,71057.27773301568,71902.11157981178,71077.05831483043
2026-04-13T13:00:00Z,71079.35563559415,71440.46100397728,71736.67041,70470.62706000001,71638.62341758098,72497.33720468142,71693.92973763686
2026-04-13T14:00:00Z,71372.865494351,71479.63198340678,72437.20049999999,70470.62706000001,72370.23605358107,73244.14288236121,72459.10268855223
2026-04-13T15:00:00Z,71482.5820511619,71495.42618816569,72500.51213999999,70470.62706000001,71832.12088446697,72705.13495477218,71905.61237965847
2026-04-13T16:00:00Z,71642.53270645926,71524.28062946504,72500.51213999999,70470.62706000001,72163.89162930942,73045.65821403236,72253.34791913003
2026-04-13T17:00:00Z,71755.05210502387,71549.77407316034,72636.3,70470.62706000001,72107.66006530177,72992.43608987522,72192.70969049903
2026-04-13T18:00:00Z,71903.89830390747,71585.49186609256,72636.3,70470.62706000001,72381.85820836708,73272.6047572462,72472.88815782429
2026-04-13T19:00:00Z,72219.21423637247,71656.40321849695,73516.73999999999,70470.62706000001,73278.83707882786,74182.09314679369,73380.23789912902
2026-04-13T20:00:00Z,72425.91329495636,71717.34022998688,73516.73999999999,70470.62706000001,73106.25025621075,74007.66694551769,73177.1293417515
2026-04-13T21:00:00Z,72593.42367385495,71777.02879202821,73516.73999999999,70470.62706000001,73138.54703493125,74039.48881058033,73226.6326527411
2026-04-13T22:00:00Z,73045.33841299829,71893.35578010869,74783.983305,70531.70650500001,74588.22977914875,75505.0079606776,74703.78275752108
2026-04-13T23:00:00Z,73350.37209899866,71996.40207479813,74937.45,70531.70650500001,74383.5190361874,75294.72364163626,74491.2493308065
2026-04-14T00:00:00Z,73531.13829922117,72084.86811256145,74937.45,70531.70650500001,74134.63490937186,75038.82068699124,74223.58532688576
2026-04-14T01:00:00Z,73721.11201050536,72178.79267939567,74937.45,70531.70650500001,74362.74233803665,75264.94502135331,74424.7847785889
2026-04-14T02:00:00Z,73856.63823039306,72266.6370598285,74937.45,70531.70650500001,74314.35462424372,75210.59072626795,74373.70859241288
2026-04-14T03:00:00Z,73987.25862363903,72355.5265675906,74937.45,70531.70650500001,74434.88588991531,75326.75228494585,74489.8829197547
2026-04-14T04:00:00Z,74076.27892949703,72438.47854442363,74937.45,70531.70650500001,74385.67868315834,75270.89717867227,74378.92821004972
2026-04-14T05:00:00Z,74106.01916738658,72510.79003240634,74937.45,70531.70650500001,74215.35184276797,75092.4633593661,74202.34888881884
2026-04-14T06:00:00Z,74198.621574634,72592.91003108364,74937.45,70531.70650500001,74535.28722136124,75410.24296390582,74536.18865633836
2026-04-14T07:00:00Z,74275.81678027089,72672.62798899859,74962.10231999999,70531.70650500001,74565.50860270683,75435.25001799363,74552.00636566307
2026-04-14T08:00:00Z,74381.19082909959,72757.41868332517,74962.10231999999,70642.66100000001,74775.98632984736,75643.16071727179,74765.69803805476
2026-04-14T09:00:00Z,74407.59286707746,72828.5444513527,74962.10231999999,70652.93586,74531.58450902608,75391.65538979699,74502.08518848229
2026-04-14T10:00:00Z,74394.79667439358,72890.64508599136,74962.10231999999,70700.921855,74386.33100836164,75241.35492743898,74348.59179827658
2026-04-14T11:00:00Z,74390.73519119501,72951.29304166518,74962.10231999999,70723.12075,74416.64881592574,75269.67010745638,74382.76782473252
2026-04-14T12:00:00Z,74404.34959315167,73012.54638690334,74962.10231999999,70783.160715,74494.85500829939,75347.54380213028,74449.3506395657
2026-04-14T13:00:00Z,74653.59190578463,73115.13388131544,75570.70647,71339.55238000001,75570.93258402812,76435.90503162863,75561.88596382452
2026-04-14T14:00:00Z,74733.59814894361,73192.6231106495,76076.019,71616.82367499999,75058.57804033521,75918.89651065881,75023.51498781404
2026-04-14T15:00:00Z,74863.25856028947,73279.33522858216,76076.019,71643.96010000001,75361.23067334446,76227.48587002802,75347.29258614301
2026-04-14T16:00:00Z,74816.35665800291,73335.37052537472,76076.019,72017.75311,74693.7872052974,75556.02692696794,74663.53918577511
2026-04-14T17:00:00Z,74801.36628955782,73393.06560597166,76076.019,72017.75311,74787.20059018317,75655.32739934484,74762.86133076435
2026-04-14T18:00:00Z,74643.9937807672,73421.64211185036,76076.019,72262.780535,74126.79129588156,74993.05984254442,74079.86389079606
2026-04-14T19:00:00Z,74550.47960726338,73454.35794401974,76076.019,72970.57646000001,74251.53643183004,75125.99788775884,74177.93932106408
2026-04-14T20:00:00Z,74450.88191676041,73480.80415038628,76076.019,73036.31357500001,74124.52049354994,75004.97421407356,74069.53145978796
2026-04-14T21:00:00Z,74412.27482414698,73513.30806261541,76076.019,73135.423995,74292.72131211993,75183.27050702718,74240.14943415982
2026-04-14T22:00:00Z,74325.80264100322,73534.1179376107,76076.019,73758.57226500001,74031.54931594565,74927.43681423806,74000.09937239833
2026-04-14T23:00:00Z,74282.63538744695,73558.50291974904,76076.019,73758.57226500001,74132.59932746283,75038.38773703968,74108.91137321849
2026-04-15T00:00:00Z,74346.12974579207,73599.72157608581,76076.019,73758.57226500001,74561.98058877865,75481.73166822728,74586.1410550339
2026-04-15T01:00:00Z,74405.4964689494,73641.09130767414,76076.019,73758.57226500001,74599.63424786844,75528.34671817636,74627.90158747493
2026-04-15T02:00:00Z,74386.94169807175,73668.88349919765,76076.019,73758.57226500001,74301.55006857777,75234.5857228558,74330.24845253897
2026-04-15T03:00:00Z,74377.83687627803,73696.51968290386,76076.019,73758.57226500001,74319.22073380042,75259.88988717455,74348.55267925838
2026-04-15T04:00:00Z,74369.51312599402,73722.79969584657,76076.019,73758.57226500001,74308.08173987582,75255.21652830776,74352.28160288099
2026-04-15T05:00:00Z,74292.17687577313,73734.99154499568,76076.019,73758.57226500001,73984.70434709836,74933.3368817519,74017.38114234588
2026-04-15T06:00:00Z,74203.16423671243,73741.3845431591,76076.019,73758.57226500001,73851.27905760343,74802.72100304444,73866.8953664252
2026-04-15T07:00:00Z,74098.11218410966,73740.93741894852,76076.019,73477.243,73687.69063283197,74640.34480290957,73698.63682197564
2026-04-15T08:00:00Z,74100.86725430751,73756.02201409348,76076.019,73477.243,74066.24163295842,75025.85766525292,74102.61500703647
2026-04-15T09:00:00Z,74081.05008668362,73766.45744208967,76076.019,73477.243,73967.39892453197,74926.49344049604,73999.26315803753
2026-04-15T10:00:00Z,74032.98340075393,73770.46938322886,76076.019,73477.243,73821.69030953269,74778.3456827796,73847.17759326713
2026-04-15T11:00:00Z,74070.49375614195,73788.0738981991,76076.019,73477.243,74160.87128661608,75120.08712778817,74208.54860287743
2026-04-15T12:00:00Z,74115.66625477708,73807.89822888485,76076.019,73477.243,74236.30614963276,75193.44171316993,74288.09500490224
2026-04-15T13:00:00Z,74104.16708704885,73818.34809709364,76076.019,73477.243,74031.07202801069,74981.39487287043,74076.42916947993
2026-04-15T14:00:00Z,74114.754401038,73831.95878700819,75725.844,73477.243,74124.34984334631,75070.70381821113,74153.35951283001
2026-04-15T15:00:00Z,74054.60453414066,73832.4535303956,75725.844,73477.243,73822.89593692216,74759.41687353636,73837.81555100452
2026-04-15T16:00:00Z,74029.3790821094,73836.8876720121,74986.25439,73477.243,73926.6361929093,74857.81306535014,73943.95507114643
2026-04-15T17:00:00Z,74052.83928608509,73849.05348131774,74852.397495,73477.243,74127.63571825075,75054.1869754868,74132.44655520168
2026-04-15T18:00:00Z,74127.82833362173,73871.14476779455,74824.11336,73477.243,74390.35607022689,75312.72959306596,74394.66411232206
2026-04-15T19:00:00Z,74322.22203726135,73917.32661400702,75318.6405,73477.243,75010.13126758853,75932.5940776944,75037.09977451432
2026-04-15T20:00:00Z,74437.65714009217,73955.05532363938,75318.6405,73477.243,74856.4354767379,75769.56594318898,74867.32994077668
2026-04-15T21:00:00Z,74505.5333311828,73987.22041247043,75318.6405,73477.243,74764.65848409923,75669.57673925904,74776.2076161124
2026-04-15T22:00:00Z,74607.41481314218,74027.08896706346,75462.7125,73477.243,74991.86557807254,75892.9532360062,75001.40996124427
2026-04-15T23:00:00Z,74652.43152133281,74059.04411126496,75462.7125,73477.243,74843.25821446966,75736.7003209201,74835.10222180486
2026-04-16T00:00:00Z,74688.58007214774,74089.90353529494,75462.7125,73477.243,74852.9087018927,75741.4667078495,74831.01337987433
2026-04-16T01:00:00Z,74681.7089450038,74113.07726854821,75462.7125,73477.243,74698.87219469051,75581.59991732352,74644.84067829106
2026-04-16T02:00:00Z,74727.38251278074,74144.67574738296,75462.7125,73477.243,74930.92704631135,75813.4719833957,74888.94940808139
2026-04-16T03:00:00Z,74763.12195438502,74175.02408422448,75462.7125,73477.243,74933.03502421899,75813.83587989106,74893.65791230966
2026-04-16T04:00:00Z,74803.35040896613,74206.41697874593,75462.7125,73477.243,74988.90358137536,75869.78128674804,74943.4058329762
2026-04-16T05:00:00Z,74856.712540307,74240.58281634813,75462.7125,73477.243,75086.94590799934,75969.58535278405,75052.24542134722
2026-04-16T06:00:00Z,74898.55642023878,74273.41657894617,75462.7125,73477.243,75085.92515893414,75970.31751846582,75053.64114525604
2026-04-16T07:00:00Z,74855.99499351905,74291.11508592796,75462.7125,73544.059575,74744.09194897812,75627.29554912973,74708.88243052644
2026-04-16T08:00:00Z,74816.42055051483,74306.9026334411,75462.7125,73544.059575,74710.2632749409,75596.88309851986,74670.09478512817
2026-04-16T09:00:00Z,74766.99820595598,74318.62170962719,75462.7125,73544.059575,74620.75235980353,75510.97105161852,74583.06640719579
2026-04-16T10:00:00Z,74666.10971574354,74318.39225209139,75462.7125,73544.059575,74333.33006112445,75225.45627490422,74289.87192674559
2026-04-16T11:00:00Z,74645.81644557831,74328.85746629174,75462.7125,73544.059575,74588.30248878621,75489.36476778357,74557.46446439483
2026-04-16T12:00:00Z,74640.9683465609,74340.90410032065,75462.7125,73544.059575,74630.25294224365,75538.03242363935,74608.4028320882
2026-04-16T13:00:00Z,74451.42649176958,74318.33781051164,75462.7125,73273.19507500001,73786.8545055902,74690.64419651593,73755.02543169726
2026-04-16T14:00:00Z,74345.18282693191,74304.25585906219,75462.7125,73273.19507500001,73964.80734529848,74876.98608581653,73947.63235068135
2026-04-16T15:00:00Z,74423.40664316926,74320.29398726374,75462.7125,73273.19507500001,74681.40637721901,75608.41163271392,74701.06268274461
2026-04-16T16:00:00Z,74368.33183357609,74314.38688574277,75462.7125,73273.19507500001,74153.2035132743,75079.12339654872,74170.42956790306
2026-04-16T17:00:00Z,74362.7580927814,74315.56497203898,75462.7125,73273.19507500001,74314.74599440988,75247.50425869676,74334.6115497862
2026-04-16T18:00:00Z,74510.30296105219,74344.59129971085,75462.7125,73273.19507500001,74992.5982406708,75937.89270161612,75041.80166835715
2026-04-16T19:00:00Z,74695.34452526282,74385.34226706959,75462.7125,73273.19507500001,75304.31554006756,76256.59611037558,75397.57111632645
2026-04-16T20:00:00Z,74812.70574187109,74419.55156229122,75572.52737999998,73273.19507500001,75181.5151065828,76134.18764013902,75268.49483713126
2026-04-16T21:00:00Z,74839.71335478863,74440.55925362627,75572.52737999998,73273.19507500001,74890.27573312032,75840.00233167969,74943.13892208025
2026-04-16T22:00:00Z,74845.98149816894,74458.00254939662,75572.52737999998,73273.19507500001,74823.04320385269,75771.41196869165,74893.65995748823
2026-04-16T23:00:00Z,74914.49449857583,74486.42244533962,75572.52737999998,73273.19507500001,75109.53492308596,76059.75074719242,75184.29548252674
2026-04-17T00:00:00Z,74921.26905444787,74505.1390802237,75572.52737999998,73273.19507500001,74901.87899226153,75846.42703982466,74941.91922036701
2026-04-17T01:00:00Z,74883.20926457056,74515.13340347988,75572.52737999998,73273.19507500001,74709.72794352108,75647.60849021561,74728.21826987165
2026-04-17T02:00:00Z,74842.49609466598,74522.67897884804,75572.52737999998,73273.19507500001,74663.58521653367,75595.51425495357,74680.70079078493
2026-04-17T03:00:00Z,74792.12362918466,74526.48065318077,75572.52737999998,73273.19507500001,74584.28031656823,75508.83515967417,74603.97451730445
2026-04-17T04:00:00Z,74791.96060047696,74537.29327958156,75572.52737999998,73273.19507500001,74765.49767541843,75685.01892228895,74788.52368251694
2026-04-17T05:00:00Z,74757.6960225932,74541.39437021088,75572.52737999998,73273.19507500001,74618.35677105152,75528.08863958722,74618.7207127922
2026-04-17T06:00:00Z,74797.87912868359,74557.60357959002,75572.52737999998,73273.19507500001,74926.02052961338,75830.95880187754,74938.27777125606
2026-04-17T07:00:00Z,74859.41043342058,74578.71241307614,75572.52737999998,73273.19507500001,75069.59953390344,75967.37847184305,75086.9539114245
2026-04-17T08:00:00Z,75064.0703371049,74627.76006968528,75919.89097499999,73273.19507500001,75782.72640404954,76679.9322203552,75819.77808154389
2026-04-17T09:00:00Z,75223.16359552604,74674.78986275934,76408.43512499999,73273.19507500001,75789.83679235166,76678.11645658959,75822.20787000378
2026-04-17T10:00:00Z,75235.52057429803,74699.44211325896,76408.43512499999,73273.19507500001,75295.7313713332,76169.57227342919,75297.00481410846
2026-04-17T11:00:00Z,75314.2271133429,74735.77916986065,76408.43512499999,73273.19507500001,75613.4687891839,76482.82354810128,75624.6753556114
2026-04-17T12:00:00Z,75518.40997704449,74796.89226496837,76408.43512499999,73273.19507500001,76263.15146678904,77132.44052913664,76279.57631654896
2026-04-17T13:00:00Z,75923.23442659016,74900.69747864312,77456.318805,73390.22653,77376.03167890714,78251.2568613147,77414.10498244593
2026-04-17T14:00:00Z,76359.57566512568,75022.57798971892,78091.516245,73875.273885,77927.34428399822,78803.06547568574,77956.99898025536
2026-04-17T15:00:00Z,76676.34107287553,75135.33072483243,78091.516245,73875.273885,77828.82130760765,78698.8844921201,77852.61561051516
2026-04-17T16:00:00Z,76938.74083445875,75246.4249809617,78372.16649999999,73875.273885,77903.04997460189,78770.66563085203,77938.22816479042
2026-04-17T17:00:00Z,77068.04064902346,75339.24804296327,78372.16649999999,74202.88,77567.09380962304,78429.03739217207,77586.16678857907
2026-04-17T18:00:00Z,77088.45161590714,75413.55995957702,78372.16649999999,74492.1353,77205.68324277975,78063.04053714269,77194.02431670141
2026-04-17T19:00:00Z,77156.25792348332,75494.37710408407,78372.16649999999,74492.1353,77437.7433146346,78298.44981299137,77395.58593607704
2026-04-17T20:00:00Z,77196.56505159814,75569.61232432553,78372.16649999999,74492.1353,77378.78101512208,78240.90003826682,77317.40195612606
2026-04-17T21:00:00Z,77251.93504013188,75646.1885559857,78372.16649999999,74492.1353,77482.79220100111,78349.3574498065,77433.11209792602
2026-04-17T22:00:00Z,77262.89392010256,75713.7420843128,78372.16649999999,74492.1353,77333.08925277696,78202.36249549886,77280.77000635899
