timestamp,scale_used,mean_pairwise_rel,variance_anchors,range_rel,gap_system_to_now_rel,n_anchors,P_now,i,vbt_rolling_return_std,atr_14,mean_abs_pairwise,mean_pairwise_per_atr,gpr_cohort_inter_rel,gpr_cohort_intra_rel,p_system,predictor_prices,compression_mean_pairwise,fold
2026-04-20 06:00:00+00:00,74786.59,0.0029999999999999398,12584.326598612719,0.0029999999999999398,0.0,2.0,74786.59,29.0,0.004491899578782866,431.5836601262681,224.35976999999548,0.5198523269726076,0.0029999999999999398,,74786.59,"{'eth_beta_pair_1d': 74898.769885, 'war_news_fwd_4h': 74674.410115}",1.0000000000000089,4
2026-04-20 07:00:00+00:00,74837.17000000001,0.0029999999999999545,12601.354530619647,0.0029999999999999545,1.944476952878743e-16,2.0,74837.17,30.0,0.004175017623648705,465.1233986886775,224.51150999999663,0.48269235784086967,0.0029999999999999545,,74837.17000000001,"{'eth_beta_pair_1d': 74949.425755, 'war_news_fwd_4h': 74724.914245}",1.0000000000000049,4
2026-04-20 08:00:00+00:00,74728.91,0.0030000000000000165,12564.922477023367,0.0030000000000000165,0.0,2.0,74728.91,31.0,0.004154946642170692,459.0017273537719,224.18673000000126,0.4884224102869468,0.0030000000000000165,,74728.91,"{'eth_beta_pair_1d': 74841.00336500001, 'war_news_fwd_4h': 74616.81663500001}",1.0000000000000207,4
2026-04-20 09:00:00+00:00,75062.77,0.0029999999999999697,12677.44374016377,0.0029999999999999697,0.0,2.0,75062.77,32.0,0.004463382852927052,463.79660397136,225.18830999999773,0.485532468482463,0.0029999999999999697,,75062.77,"{'eth_beta_pair_1d': 75175.364155, 'war_news_fwd_4h': 74950.175845}",0.9999999999999843,4
2026-04-20 10:00:00+00:00,75027.26000000001,0.0029999999999999086,12665.45192199133,0.0029999999999999086,1.9395504018628495e-16,2.0,75027.26,33.0,0.0035767684559446953,459.31113225912003,225.08177999999316,0.4900420742970659,0.0029999999999999086,,75027.26000000001,"{'eth_beta_pair_1d': 75139.80089, 'war_news_fwd_4h': 74914.71911}",0.9999999999999796,4
2026-04-20 11:00:00+00:00,75192.71000000002,0.002999999999999925,12721.373183573596,0.002999999999999925,1.9352827193443152e-16,2.0,75192.71,34.0,0.0023291930392673812,450.1010513834693,225.57812999999442,0.5011721907927965,0.002999999999999925,,75192.71000000002,"{'eth_beta_pair_1d': 75305.49906500001, 'war_news_fwd_4h': 75079.92093500002}",1.0000000000000056,4
2026-04-20 12:00:00+00:00,75289.9,0.0029999999999999424,12754.280344522009,0.0029999999999999424,0.0,2.0,75289.9,35.0,0.002318381726315687,461.2466905703643,225.86969999999565,0.4896939200164053,0.0029999999999999424,,75289.9,"{'eth_beta_pair_1d': 75402.83485, 'war_news_fwd_4h': 75176.96515}",1.0000000000000058,4
2026-04-20 13:00:00+00:00,75269.38,0.0029999999999999164,12747.329022564192,0.0029999999999999164,0.0,2.0,75269.38,36.0,0.0020227642885287007,469.3933555296242,225.80813999999373,0.4810637759139362,0.0029999999999999164,,75269.38,"{'eth_beta_pair_1d': 75382.28407000001, 'war_news_fwd_4h': 75156.47593000002}",0.9999999999999913,4
2026-04-20 14:00:00+00:00,75034.79000000001,0.003000000000000012,12667.99434827433,0.003000000000000012,1.9393557612897765e-16,2.0,75034.79,37.0,0.0020321614103975183,496.24525870608016,225.10437000000093,0.4536151551088721,0.003000000000000012,,75034.79000000001,"{'eth_beta_pair_1d': 75147.342185, 'war_news_fwd_4h': 74922.237815}",1.000000000000032,4
2026-04-20 15:00:00+00:00,75716.77,0.0029999999999999636,12899.315833273715,0.0029999999999999636,0.0,2.0,75716.77,38.0,0.004527978713300986,537.2791687985032,227.15030999999726,0.4227789260990051,0.0029999999999999636,,75716.77,"{'eth_beta_pair_1d': 75830.345155, 'war_news_fwd_4h': 75603.194845}",0.9999999999999838,4
2026-04-20 16:00:00+00:00,75338.74000000002,0.003000000000000065,12770.832925772662,0.003000000000000065,1.9315315372100526e-16,2.0,75338.74,39.0,0.00543583298240239,529.2399424557537,226.01622000000498,0.4270581297232695,0.003000000000000065,,75338.74000000002,"{'eth_beta_pair_1d': 75451.74811000002, 'war_news_fwd_4h': 75225.73189000001}",1.0000000000000338,4
2026-04-20 17:00:00+00:00,75898.14000000001,0.002999999999999997,12961.187224784078,0.002999999999999997,1.917295368287925e-16,2.0,75898.14,40.0,0.006309288232111853,541.5478037089144,227.6944199999998,0.420451192748973,0.002999999999999997,,75898.14000000001,"{'eth_beta_pair_1d': 76011.98721, 'war_news_fwd_4h': 75784.29279}",0.9999999999999774,4
