timestamp,scale_used,mean_pairwise_rel,variance_anchors,range_rel,gap_system_to_now_rel,n_anchors,P_now,i,vbt_rolling_return_std,atr_14,mean_abs_pairwise,mean_pairwise_per_atr,gpr_cohort_inter_rel,gpr_cohort_intra_rel,p_system,predictor_prices,compression_mean_pairwise
2026-04-24 23:00:00+00:00,77437.13,0.003000000000000033,13492.145480933325,0.003000000000000033,0.0,2.0,77437.13,598.0,0.0019275417553792599,385.391978812232,232.31139000000258,0.602792488613749,0.003000000000000033,,77437.13,"{'eth_beta_pair_1d': 77553.28569500001, 'war_news_fwd_4h': 77320.97430500001}",0.9999999999999931
2026-04-25 00:00:00+00:00,77456.88,0.002999999999999919,13499.028583501673,0.002999999999999919,0.0,2.0,77456.88,599.0,0.0019374882488292305,371.6546946113588,232.37063999999373,0.6252326241781632,0.002999999999999919,,77456.88,"{'eth_beta_pair_1d': 77573.06532000001, 'war_news_fwd_4h': 77340.69468000002}",0.999999999999962
2026-04-25 01:00:00+00:00,77541.63,0.002999999999999895,13528.58486187708,0.002999999999999895,0.0,2.0,77541.63,600.0,0.0019256438387103886,357.94507356769043,232.62488999999186,0.6498899054019263,0.002999999999999895,,77541.63,"{'eth_beta_pair_1d': 77657.94244500001, 'war_news_fwd_4h': 77425.31755500002}",0.999999999999992
2026-04-25 02:00:00+00:00,77607.80000000002,0.0030000000000001076,13551.68389689098,0.0030000000000001076,1.875058335420776e-16,2.0,77607.8,601.0,0.001654124935834444,342.34971116999833,232.8234000000084,0.6800747668351232,0.0030000000000001076,,77607.80000000002,"{'eth_beta_pair_1d': 77724.21170000001, 'war_news_fwd_4h': 77491.3883}",1.0000000000000708
2026-04-25 03:00:00+00:00,77679.07,0.002999999999999935,13576.585311145438,0.002999999999999935,0.0,2.0,77679.07,602.0,0.0004199909842751836,329.43901751499783,233.03720999999496,0.7073758650624492,0.002999999999999935,,77679.07,"{'eth_beta_pair_1d': 77795.58860500001, 'war_news_fwd_4h': 77562.55139500002}",0.9999999999999425
2026-04-25 04:00:00+00:00,77619.05,0.0029999999999999506,13555.61307653018,0.0029999999999999506,0.0,2.0,77619.05,603.0,0.0007628821912199789,312.68337340678374,232.85714999999618,0.7447058903802407,0.0029999999999999506,,77619.05,"{'eth_beta_pair_1d': 77735.478575, 'war_news_fwd_4h': 77502.621425}",1.000000000000005
2026-04-25 05:00:00+00:00,77510.28,0.003000000000000087,13517.64788777718,0.003000000000000087,0.0,2.0,77510.28,604.0,0.0011438680030120716,299.88741816344265,232.53084000000672,0.7753937841876191,0.003000000000000087,,77510.28,"{'eth_beta_pair_1d': 77626.54542000001, 'war_news_fwd_4h': 77394.01458}",1.0000000000000453
2026-04-25 06:00:00+00:00,77503.63,0.0030000000000000647,13515.328492148608,0.0030000000000000647,0.0,2.0,77503.63,605.0,0.0010114341614789297,285.104745437482,232.51089000000502,0.8155279549739736,0.0030000000000000647,,77503.63,"{'eth_beta_pair_1d': 77619.885445, 'war_news_fwd_4h': 77387.374555}",0.9999999999999927
2026-04-25 07:00:00+00:00,77501.19,0.0030000000000000096,13514.477515686314,0.0030000000000000096,0.0,2.0,77501.19,606.0,0.0008711259936666281,273.0444064776615,232.50357000000076,0.8515229189249937,0.0030000000000000096,,77501.19,"{'eth_beta_pair_1d': 77617.441785, 'war_news_fwd_4h': 77384.938215}",0.9999999999999817
2026-04-25 08:00:00+00:00,77643.37,0.003000000000000015,13564.109036153159,0.003000000000000015,0.0,2.0,77643.37,607.0,0.0012137707881343458,265.18766315782875,232.93011000000115,0.8783595255763115,0.003000000000000015,,77643.37,"{'eth_beta_pair_1d': 77759.835055, 'war_news_fwd_4h': 77526.904945}",1.0000000000000018
2026-04-25 09:00:00+00:00,77714.55000000002,0.0029999999999999758,13588.990383830409,0.0029999999999999758,1.8724827240673527e-16,2.0,77714.55,608.0,0.0012118369699712802,259.99925864655444,233.14364999999816,0.896708902993204,0.0029999999999999758,,77714.55000000002,"{'eth_beta_pair_1d': 77831.12182500001, 'war_news_fwd_4h': 77597.97817500001}",0.999999999999987
2026-04-25 10:00:00+00:00,77787.77000000002,0.0030000000000000074,13614.608613539098,0.0030000000000000074,1.8707201952655089e-16,2.0,77787.77,609.0,0.0007975299177106823,253.62788302894364,233.36331000000064,0.9201011624316147,0.0030000000000000074,,77787.77000000002,"{'eth_beta_pair_1d': 77904.45165500001, 'war_news_fwd_4h': 77671.08834500001}",1.0000000000000107
2026-04-25 11:00:00+00:00,77682.30000000002,0.003000000000000015,13577.714399902638,0.003000000000000015,1.8732600899261285e-16,2.0,77682.3,610.0,0.0012113453972394381,248.42160566973376,233.0469000000012,0.9381104327528877,0.003000000000000015,,77682.30000000002,"{'eth_beta_pair_1d': 77798.82345000001, 'war_news_fwd_4h': 77565.77655000001}",1.0000000000000024
2026-04-25 12:00:00+00:00,77557.14,0.002999999999999984,13533.997421203956,0.002999999999999984,0.0,2.0,77557.14,611.0,0.0015347992394408446,242.63006240760967,232.67141999999876,0.9589554471989512,0.002999999999999984,,77557.14,"{'eth_beta_pair_1d': 77673.47571, 'war_news_fwd_4h': 77440.80429}",0.9999999999999898
2026-04-25 13:00:00+00:00,77691.69,0.0030000000000000803,13580.997063876952,0.0030000000000000803,0.0,2.0,77691.69,612.0,0.0015077747603130698,236.28291509278068,233.07507000000624,0.9864237112043635,0.0030000000000000803,,77691.69,"{'eth_beta_pair_1d': 77808.22753500001, 'war_news_fwd_4h': 77575.152465}",1.0000000000000322
2026-04-25 14:00:00+00:00,77656.75,0.0029999999999999805,13568.78434626545,0.0029999999999999805,0.0,2.0,77656.75,613.0,0.0014512460597850409,227.58699258615303,232.9702499999985,1.0236536251596524,0.0029999999999999805,,77656.75,"{'eth_beta_pair_1d': 77773.235125, 'war_news_fwd_4h': 77540.26487500001}",0.9999999999999668
2026-04-25 15:00:00+00:00,77330.26000000001,0.003000000000000095,13454.930501252955,0.003000000000000095,1.8817879609310573e-16,2.0,77330.26,614.0,0.002144333763933282,241.53149311571337,231.99078000000736,0.9604990927160988,0.003000000000000095,,77330.26000000001,"{'eth_beta_pair_1d': 77446.25539, 'war_news_fwd_4h': 77214.26461}",1.0000000000000382
2026-04-25 16:00:00+00:00,77397.27000000002,0.0030000000000000495,13478.259157769477,0.0030000000000000495,1.8801587224416117e-16,2.0,77397.27,615.0,0.002321097892677013,246.71352932173397,232.1918100000039,0.9411393474786192,0.0030000000000000495,,77397.27000000002,"{'eth_beta_pair_1d': 77513.36590500001, 'war_news_fwd_4h': 77281.17409500001}",0.9999999999999848
2026-04-25 17:00:00+00:00,77245.77,0.0029999999999999584,13425.545211508654,0.0029999999999999584,0.0,2.0,77245.77,616.0,0.0023587185416574378,243.096134370181,231.7373099999968,0.953274352142156,0.0029999999999999584,,77245.77,"{'eth_beta_pair_1d': 77361.638655, 'war_news_fwd_4h': 77129.901345}",0.9999999999999697
2026-04-25 18:00:00+00:00,77313.0,0.0029999999999999805,13448.924930249825,0.0029999999999999805,0.0,2.0,77313.0,617.0,0.0021485945200659636,238.0692676294539,231.9389999999985,0.974250067257749,0.0029999999999999805,,77313.0,"{'eth_beta_pair_1d': 77428.9695, 'war_news_fwd_4h': 77197.03050000001}",1.0000000000000073
